subscription_id,customer_id,plan_id,start_date,end_date,churn_flag,churn_date,mrr_value,Contract,plan
1,7590-VHVEG,1,2/3/2026,NULL,0,NULL,29.85,Month-to-month,Basic
2,5575-GNVDE,2,5/3/2023,NULL,0,NULL,56.95,One year,Pro
3,3668-QPYBK,3,1/3/2026,3/3/2026,1,3/3/2026,53.85,Month-to-month,Pro
4,7795-CFOCW,4,6/3/2022,NULL,0,NULL,42.3,One year,Pro
5,9237-HQITU,5,1/3/2026,3/3/2026,1,3/3/2026,70.7,Month-to-month,Pro
6,9305-CDSKC,6,7/3/2025,3/3/2026,1,3/3/2026,99.65,Month-to-month,Enterprise
7,1452-KIOVK,7,5/3/2024,NULL,0,NULL,89.1,Month-to-month,Enterprise
8,6713-OKOMC,8,5/3/2025,NULL,0,NULL,29.75,Month-to-month,Basic
9,7892-POOKP,9,11/3/2023,3/3/2026,1,3/3/2026,104.8,Month-to-month,Enterprise
10,6388-TABGU,10,1/3/2021,NULL,0,NULL,56.15,One year,Pro
11,9763-GRSKD,11,2/3/2025,NULL,0,NULL,49.95,Month-to-month,Pro
12,7469-LKBCI,12,11/3/2024,NULL,0,NULL,18.95,Two year,Basic
13,8091-TTVAX,13,5/3/2021,NULL,0,NULL,100.35,One year,Enterprise
14,0280-XJGEX,14,2/3/2022,3/3/2026,1,3/3/2026,103.7,Month-to-month,Enterprise
15,5129-JLPIS,15,2/3/2024,NULL,0,NULL,105.5,Month-to-month,Enterprise
16,3655-SNQYZ,16,6/3/2020,NULL,0,NULL,113.25,Two year,Enterprise
17,8191-XWSZG,17,11/3/2021,NULL,0,NULL,20.65,One year,Basic
18,9959-WOFKT,18,4/3/2020,NULL,0,NULL,106.7,Two year,Enterprise
19,4190-MFLUW,19,5/3/2025,3/3/2026,1,3/3/2026,55.2,Month-to-month,Pro
20,4183-MYFRB,20,6/3/2024,NULL,0,NULL,90.05,Month-to-month,Enterprise
21,8779-QRDMV,21,2/3/2026,3/3/2026,1,3/3/2026,39.65,Month-to-month,Basic
22,1680-VDCWW,22,3/3/2025,NULL,0,NULL,19.8,One year,Basic
23,1066-JKSGK,23,2/3/2026,3/3/2026,1,3/3/2026,20.15,Month-to-month,Basic
24,3638-WEABW,24,5/3/2021,NULL,0,NULL,59.9,Two year,Pro
25,6322-HRPFA,25,2/3/2022,NULL,0,NULL,59.6,Month-to-month,Pro
26,6865-JZNKO,26,9/3/2023,NULL,0,NULL,55.3,Month-to-month,Pro
27,6467-CHFZW,27,4/3/2022,3/3/2026,1,3/3/2026,99.35,Month-to-month,Enterprise
28,8665-UTDHZ,28,2/3/2026,3/3/2026,1,3/3/2026,30.2,Month-to-month,Basic
